,Ovhd,Inst,Res,Non-inst,Bus/Fin,Comp/Eng/Sci,Mgnt,Admin/Off,Stdt,Aux,Prv/Stdt,Prv/Aux
K & G 5 Star Barber College,-10.0,0,0,0,0,0,0,0,0,0,0,0
Kenneth Shuler School of Cosmetology-North Augusta,-10.0,0,0,0,0,0,0,0,0,0,0,0
Kenneth Shuler School of Cosmetology-Spartanburg,-10.0,0,0,0,0,0,0,0,0,0,0,0
Kettering College-Ollie Davis Medical Arts and Education Center,-10.0,0,0,0,0,0,0,0,0,0,0,0
Keune Academy by 124,-10.0,0,0,0,0,0,0,0,0,0,0,0
Keystone Technical Institute,-10.0,0,0,0,0,0,0,0,0,0,0,0
Kiamichi Technology Center-Durant,-10.0,0,0,0,0,0,0,0,0,0,0,0
Kiamichi Technology Center-Hugo,-10.0,0,0,0,0,0,0,0,0,0,0,0
Kiamichi Technology Center-Idabel,-10.0,0,0,0,0,0,0,0,0,0,0,0
Kiamichi Technology Center-McAlester,-10.0,0,0,0,0,0,0,0,0,0,0,0
Kiamichi Technology Center-Poteau,-10.0,0,0,0,0,0,0,0,0,0,0,0
Kiamichi Technology Center-Spiro,-10.0,0,0,0,0,0,0,0,0,0,0,0
Kiamichi Technology Center-Stigler,-10.0,0,0,0,0,0,0,0,0,0,0,0
Kenneth Shuler School of Cosmetology-Rock Hill,-10.0,0,0,0,0,0,0,0,0,0,0,0
Marketti Academy of Cosmetology,-10.0,0,0,0,0,0,0,0,0,0,0,0
Maryland Beauty Academy,-10.0,0,0,0,0,0,0,0,0,0,0,0
International Academy,-10.0,0,0,0,0,0,0,0,0,0,0,0
National Tractor Trailer School Inc-Liverpool,-10.0,0,0,0,0,0,0,0,0,0,0,0
Nationwide Beauty Academy,-10.0,0,0,0,0,0,0,0,0,0,0,0
NeeCee's College of Cosmetology,-10.0,0,0,0,0,0,0,0,0,0,0,0
Neilson Beauty College,-10.0,0,0,0,0,0,0,0,0,0,0,0
Neosho Beauty College,-10.0,0,0,0,0,0,0,0,0,0,0,0
Networks Barber College,-10.0,0,0,0,0,0,0,0,0,0,0,0
Nevada Career Institute,-10.0,0,0,0,0,0,0,0,0,0,0,0
New Age Training,-10.0,0,0,0,0,0,0,0,0,0,0,0
New Beginning College of Cosmetology,-10.0,0,0,0,0,0,0,0,0,0,0,0
New Beginnings Beauty Academy,-10.0,0,0,0,0,0,0,0,0,0,0,0
New Castle Beauty Academy,-10.0,0,0,0,0,0,0,0,0,0,0,0
New Concept Massage and Beauty School,-10.0,0,0,0,0,0,0,0,0,0,0,0
New Concepts School of Cosmetology,-10.0,0,0,0,0,0,0,0,0,0,0,0
