Unnamed: 0,Ovhd,Rank,CONTROL
Ohio University-Main Campus,1.54,1579.0,1
University of Minnesota-Rochester,1.55,1596.5,1
Humboldt State University,1.55,1596.5,1
University of California-Los Angeles,1.55,1596.5,1
Pennsylvania State University-Penn State Beaver,1.55,1596.5,1
Eastern Oregon University,1.55,1596.5,1
Nevada State College,1.56,1615.0,1
University of North Texas at Dallas,1.56,1615.0,1
Massachusetts College of Art and Design,1.56,1615.0,1
University of Florida,1.56,1615.0,1
University of Nevada-Reno,1.56,1615.0,1
Vincennes University,1.57,1630.0,1
Central State University,1.57,1630.0,1
University of Arizona,1.57,1630.0,1
Governors State University,1.58,1646.0,1
University of Idaho,1.58,1646.0,1
Louisiana State University and Agricultural & Mechanical College,1.59,1664.0,1
Maine Maritime Academy,1.59,1664.0,1
University of Iowa,1.59,1664.0,1
Stockton University,1.59,1664.0,1
CUNY Medgar Evers College,1.6,1679.0,1
Elizabeth City State University,1.6,1679.0,1
Massachusetts Maritime Academy,1.61,1692.0,1
Miami Dade College,1.61,1692.0,1
University of Michigan-Ann Arbor,1.61,1692.0,1
Eastern Florida State College,1.62,1707.0,1
University of New Mexico-Main Campus,1.62,1707.0,1
Tennessee State University,1.62,1707.0,1
Seattle Central College,1.63,1725.0,1
United States Coast Guard Academy,1.63,1725.0,1
Johnson State College,1.63,1725.0,1
University of Illinois at Urbana-Champaign,1.63,1725.0,1
Vermont Technical College,1.64,1739.5,1
Lake Washington Institute of Technology,1.65,1748.5,1
University of Alabama at Birmingham,1.66,1759.0,1
University of South Carolina-Beaufort,1.67,1775.5,1
University of North Dakota,1.67,1775.5,1
Centralia College,1.67,1775.5,1
Skagit Valley College,1.68,1793.0,1
Northwest Florida State College,1.68,1793.0,1
College of Central Florida,1.68,1793.0,1
Chicago State University,1.68,1793.0,1
University of California-Davis,1.68,1793.0,1
Coppin State University,1.68,1793.0,1
California State University-San Marcos,1.68,1793.0,1
Cascadia College,1.7,1811.5,1
North Seattle College,1.71,1823.5,1
The University of West Florida,1.71,1823.5,1
Cheyney University of Pennsylvania,1.71,1823.5,1
University of the District of Columbia,1.72,1836.0,1
Polk State College,1.72,1836.0,1
CUNY School of Law,1.73,1847.0,1
Colorado Mountain College,1.74,1856.0,1
SUNY at Purchase College,1.74,1856.0,1
Alcorn State University,1.74,1856.0,1
SUNY College of Agriculture and Technology at Cobleskill,1.74,1856.0,1
New Jersey City University,1.75,1868.0,1
North Carolina State University at Raleigh,1.75,1868.0,1
