UNITID,XSANIN01,SANIN01,XSANIT01,SANIT01,XSANIN02,SANIN02,XSANIT02,SANIT02,XSANIN03,SANIN03,XSANIT03,SANIT03,XSANIN04,SANIN04,XSANIT04,SANIT04,XSANIN05,SANIN05,XSANIT05,SANIT05,XSANIN06,SANIN06,XSANIT06,SANIT06,XSANIN07,SANIN07,XSANIT07,SANIT07,XSANIN08,SANIN08,XSANIT08,SANIT08,XSANIN09,SANIN09,XSANIT09,SANIT09,XSANIN10,SANIN10,XSANIT10,SANIT10,XSANIN11,SANIN11,XSANIT11,SANIT11,XSANIN12,SANIN12,XSANIT12,SANIT12,XSANIN13,SANIN13,XSANIT13,SANIT13,XSANIN14,SANIN14,XSANIT14,SANIT14 
227289,"R",44,"R",1759202,"Z",0,"Z",0,"Z",0,"Z",0,"R",4,"R",193263,"R",12,"R",710023,"R",2,"R",75063,"R",1,"R",71186,"R",1,"R",44354,"Z",0,"Z",0,"R",15,"R",381834,"Z",0,"Z",0,"R",9,"R",283479,"Z",0,"Z",0,"Z",0,"Z",0
227304,"R",217,"R",10287779,"Z",0,"Z",0,"Z",0,"Z",0,"R",57,"R",2121134,"R",49,"R",3713441,"R",15,"R",583834,"R",15,"R",749633,"R",17,"R",885807,"Z",0,"Z",0,"R",17,"R",631643,"Z",0,"Z",0,"R",33,"R",1074565,"R",9,"R",358745,"R",5,"R",168977
227331,"R",312,"R",14626211,"Z",0,"Z",0,"Z",0,"Z",0,"R",10,"R",519376,"R",35,"R",3403734,"R",41,"R",2012707,"R",15,"R",899919,"R",60,"R",2679289,"R",5,"R",289014,"R",35,"R",809507,"R",16,"R",633116,"R",78,"R",2778796,"R",17,"R",600753,"Z",0,"Z",0
227368,"R",1836,"R",83899292,"R",38,"R",1614534,"Z",0,"Z",0,"R",99,"R",3759778,"R",259,"R",26292683,"R",261,"R",10269029,"R",188,"R",8833507,"R",294,"R",11758811,"R",85,"R",4249854,"R",257,"R",7031130,"Z",0,"Z",0,"R",265,"R",7368968,"R",85,"R",2593114,"R",5,"R",127884
227377,"R",130,"R",5158854,"Z",0,"Z",0,"Z",0,"Z",0,"R",7,"R",322805,"R",18,"R",1617016,"R",6,"R",259250,"Z",0,"Z",0,"R",15,"R",509234,"Z",0,"Z",0,"R",27,"R",706885,"Z",0,"Z",0,"R",50,"R",1509539,"R",7,"R",234125,"Z",0,"Z",0
227386,"R",78,"R",3748451,"Z",0,"Z",0,"Z",0,"Z",0,"R",14,"R",582225,"R",4,"R",596873,"R",17,"R",1000469,"R",4,"R",258399,"Z",0,"Z",0,"Z",0,"Z",0,"R",11,"R",472273,"Z",0,"Z",0,"R",28,"R",838212,"Z",0,"Z",0,"Z",0,"Z",0
227401,"R",135,"R",5386325,"Z",0,"Z",0,"R",6,"R",250800,"R",41,"R",1586395,"R",8,"R",877700,"R",5,"R",240248,"R",3,"R",183900,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",72,"R",2247282,"Z",0,"Z",0,"Z",0,"Z",0
227429,"R",39,"R",1965798,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",55000,"R",24,"R",1158444,"R",3,"R",236000,"R",1,"R",72800,"R",2,"R",170000,"R",1,"R",49400,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"R",98000,"R",5,"R",126154,"Z",0,"Z",0
227526,"R",644,"R",36899630,"R",31,"R",1734385,"R",49,"R",2497619,"R",147,"R",8878940,"R",88,"R",8658687,"R",46,"R",2455644,"R",20,"R",1081420,"R",57,"R",3226030,"R",9,"R",571977,"R",38,"R",1471172,"R",3,"R",132730,"R",131,"R",5594196,"R",11,"R",265427,"R",14,"R",331403
227687,"R",68,"R",2744726,"Z",0,"Z",0,"Z",0,"Z",0,"R",13,"R",558350,"R",12,"R",866386,"Z",0,"Z",0,"R",1,"R",42360,"R",21,"R",722900,"Z",0,"Z",0,"R",10,"R",226540,"Z",0,"Z",0,"R",11,"R",328190,"Z",0,"Z",0,"Z",0,"Z",0
