Position,Count
Financial Aid Ofcr 2,1
Financial Anl 2,1
Financial Anl 3,1
Financial Anl 4,2
Financial Svc Anl 1,2
Financial Svc Anl 2,3
Financial Svc Anl 4,1
Financial Svc Mgr 1,2
Financial Svc Mgr 2,1
Financial Svc Supv 1,2
Fire Captain 56 HRs,7
Fire Chf Ast,2
Fire Fighter Stdt Rsdt,10
Fire Fighter Stdt Rsdt Sr,5
Fire Spec 1 56 HRs,7
Fire Spec 1 56 HRs Non Hzmt,3
Fire Spec 2 56 HRs,7
Food Svc Mgr,1
Food Svc Mgr Ast Supv,4
Food Svc Mgr Prn,1
Food Svc Worker,35
Food Svc Worker Pd,5
Food Svc Worker Prn,7
Food Svc Worker Sr,53
Food Svc Worker Sr Pd,7
Fundraiser 2 Nex,1
Fundraiser 3,7
Fundraiser 4,2
Fundraiser 4 (Pss),14
Fundraiser 5,30
Fundraising Mgr 2,21
Fundraising Mgr 3,12
Gardener Groundskeeper,11
Gen Accountant 3,1
Genetic Cnslr 2 Nex,3
Genetic Cnslr 3 Ex,5
Genetic Cnslr Pd,1
Geographic Info Sys Progr 1,1
Geographic Info Sys Progr 2,2
Geographic Info Sys Progr 4,1
Geographic Info Sys Supv 2 Anr,1
Gi Endoscopy Tchn 2,9
Gi Endoscopy Tchn 2 Pd,1
Gi Endoscopy Tchn 3,1
Glazier,1
Grounds Equip Opr,4
Grounds Supv Ex,4
Groundskeeper,36
Groundskeeper Ld,1
Gsr-Full Fee Rem,1847
HR Anl 1,7
HR Anl 2,18
HR Anl 3,15
HR Anl 4,18
HR Anl 4 Supv,2
HR Anl 5,14
HR Anl 5 Supv,3
HR Anl 6,14
HR Anl 6 Supv,5
HR Anl 7,3
HR Anl 7 Supv,2
HR Anl 8 Supv,4
HR Generalist 2,5
HR Generalist 3,1
HR Mgr 2,1
HR Mgr 3,3
HR Mgr 4,1
High Volt Electrn,7
Histo Tchno 2,6
Histo Tchno 3,8
Histo Tchno Supv Nex,2
Home Health Aide,5
Home Health Aide Pd,2
Home Health Nurse 2,6
Home Health Nurse 3,18
Home Health Nurse 4,4
Home Health Nurse Pd,4
Hosp Ast 1 Pd,34
Hosp Ast 2 Pd,11
Hosp Ast 3 Pd,25
Hosp Blank Ast 1,52
Hosp Blank Ast 2,57
Hosp Blank Ast 2 Supv,1
Hosp Blank Ast 3,71
Hosp Blank Ast 3 Supv,12
Hosp Lab Tchn 1,13
Hosp Lab Tchn 2,35
Hosp Lab Tchn 2 Supv,1
Hosp Lab Tchn 3,17
Hosp Lab Tchn 3 Supv,6
Hosp Lab Tchn 4,1
